Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101
Variant 484,1,40,49 days,4233600000,49 days,4233600000,01_HOOFD_010-complete,01_HOOFD_020-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_030_1-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 485,1,45,"105 days, 10 hours",9109419000,"105 days, 10 hours",9109419000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_790-complete,01_BB_770-complete,01_BB_540-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 486,1,45,"104 days, 14 hours",9038134000,"104 days, 14 hours",9038134000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_BB_770-complete,01_HOOFD_790-complete,01_BB_540-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 487,1,45,"105 days, 10 hours",9109713000,"105 days, 10 hours",9109713000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_050-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_BB_770-complete,01_HOOFD_790-complete,01_BB_540-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 488,1,45,"99 days, 10 hours",8590852000,"99 days, 10 hours",8590852000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_050-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_BB_770-complete,01_HOOFD_790-complete,01_BB_540-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 489,1,77,"1 year, 202 days",49024800000,"1 year, 202 days",49024800000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,03_GBH_005-complete,14_VRIJ_010-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_090-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,07_OPS_010-complete,06_VD_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_110_2-complete,01_HOOFD_210_2-complete,01_HOOFD_210_1-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,15_NGV_010-complete,01_HOOFD_270-complete,01_HOOFD_196-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_445-complete,01_HOOFD_440_2-complete,01_HOOFD_446-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_045-complete,10_UOV_040-complete,10_UOV_050_1-complete,01_HOOFD_460-complete,10_UOV_050_2-complete,10_UOV_035-complete,10_UOV_030-complete,10_UOV_060-complete,10_UOV_180-complete,10_UOV_190_1-complete,10_UOV_190_2-complete,10_UOV_210-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_490_3-complete,01_HOOFD_505-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,
Variant 490,1,40,"69 days, 15 hours",6016225000,"69 days, 15 hours",6016225000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,06_VD_070-complete,06_VD_030_3-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,06_VD_010-complete,06_VD_020-complete,06_VD_030_1-complete,06_VD_030_2-complete,06_VD_060-complete,01_HOOFD_055-complete,07_OPS_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 491,1,45,"96 days, 17 hours",8356531000,"96 days, 17 hours",8356531000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_050-complete,01_HOOFD_065_1-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_BB_770-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_790-complete,01_BB_540-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 492,1,35,"29 days, 17 hours",2567082000,"29 days, 17 hours",2567082000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_050-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_055-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 493,1,14,23 days,1987200000,23 days,1987200000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_050-complete,01_HOOFD_101-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 494,1,42,"62 days, 1 hour",5360400000,"62 days, 1 hour",5360400000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,07_OPS_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,06_VD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_505-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 495,1,44,"64 days, 1 hour",5533200000,"64 days, 1 hour",5533200000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,01_HOOFD_030_1-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_210_1-complete,01_HOOFD_210_2-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_050-complete,06_VD_010-complete,01_HOOFD_055-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_505-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 496,1,53,"62 days, 16 hours",5415647000,"62 days, 16 hours",5415647000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,01_HOOFD_101-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 497,1,11,23 days,1987200000,23 days,1987200000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 498,1,40,49 days,4233600000,49 days,4233600000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 499,1,41,"85 days, 19 hours",7414332000,"85 days, 19 hours",7414332000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 500,1,41,14 days,1209600000,14 days,1209600000,01_HOOFD_010-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_030_1-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,15_NGV_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 501,1,42,40 days,3456000000,40 days,3456000000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,01_HOOFD_050-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_055-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_505-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 502,1,42,29 days,2505600000,29 days,2505600000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_050-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_055-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_505-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 503,1,38,"58 days, 1 hour",5014800000,"58 days, 1 hour",5014800000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,06_VD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 504,1,42,34 days,2937600000,34 days,2937600000,01_HOOFD_010-complete,01_HOOFD_015-complete,05_EIND_010-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,14_VRIJ_010-complete,03_GBH_005-complete,01_HOOFD_101-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,06_VD_010-complete,07_OPS_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_260-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_505-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
