Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116
Variant 757,1,19,"18 days, 10 hours",1594644000,"18 days, 10 hours",1594644000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,14_VRIJ_010-complete,14_VRIJ_011-complete,14_VRIJ_030_2-complete,14_VRIJ_030_1a-complete,14_VRIJ_030_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 758,1,52,"83 days, 9 hours",7205519000,"83 days, 9 hours",7205519000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,01_HOOFD_015-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_250_1-complete,01_HOOFD_494a-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_370-complete,01_HOOFD_250_2-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 759,1,52,"83 days, 9 hours",7206202000,"83 days, 9 hours",7206202000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_BB_540-complete,01_HOOFD_809-complete,01_BB_775-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 760,1,80,"218 days, 11 hours",18878298000,"218 days, 11 hours",18878298000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_029-complete,04_BPT_021-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_270-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_440_1-complete,01_HOOFD_440_1a-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_446-complete,01_HOOFD_455-complete,01_HOOFD_459-complete,01_HOOFD_450-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_0-complete,10_UOV_050_2a-complete,10_UOV_050_1-complete,01_HOOFD_460a-complete,01_HOOFD_465-complete,01_HOOFD_460-complete,10_UOV_050_4-complete,10_UOV_050_2-complete,10_UOV_030-complete,10_UOV_030a-complete,10_UOV_060-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,10_UOV_050_3-complete,01_HOOFD_494a-complete,01_HOOFD_490_1-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_516-complete,01_HOOFD_516a-complete,01_BB_630-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 761,1,52,84 days,7257600000,84 days,7257600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 762,1,52,"75 days, 10 hours",6517879000,"75 days, 10 hours",6517879000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_370-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_494a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 763,1,51,"72 days, 10 hours",6258622000,"72 days, 10 hours",6258622000,01_HOOFD_010-complete,01_HOOFD_490_5a-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 764,1,26,"6 days, 9 hours",552029000,"6 days, 9 hours",552029000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,99_NOCODE_01-complete,05_EIND_010-complete,05_EIND_020_0-complete,05_EIND_020-complete,05_EIND_025-complete,05_EIND_030_0-complete,05_EIND_030_2-complete,05_EIND_030_1-complete,05_EIND_065-complete,01_HOOFD_810-complete,01_HOOFD_809-complete,01_HOOFD_811-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 765,1,51,"70 days, 10 hours",6085792000,"70 days, 10 hours",6085792000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_490_5a-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 766,1,51,"63 days, 10 hours",5480963000,"63 days, 10 hours",5480963000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,01_HOOFD_015-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2a-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 767,1,53,"193 days, 12 hours",16720993000,"193 days, 12 hours",16720993000,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_061-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_1a-complete,01_HOOFD_250_2-complete,01_HOOFD_195-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_519-complete,01_HOOFD_490_5a-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_HOOFD_809c-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 768,1,8,1 day,86400000,1 day,86400000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,99_NOCODE_01-complete,01_HOOFD_015-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 769,1,53,"193 days, 12 hours",16721057000,"193 days, 12 hours",16721057000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_375-complete,01_HOOFD_494a-complete,01_HOOFD_370-complete,01_HOOFD_490_4-complete,01_HOOFD_250_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_519-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809c-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 770,1,56,"192 days, 12 hours",16634923000,"192 days, 12 hours",16634923000,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_010-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,99_NOCODE_02-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,99_NOCODE_02-complete,01_HOOFD_195-complete,01_HOOFD_370-complete,99_NOCODE_02-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_519-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_BB_540-complete,01_HOOFD_809c-complete,01_HOOFD_809-complete,01_BB_775-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 771,1,53,"192 days, 12 hours",16634681000,"192 days, 12 hours",16634681000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_196-complete,01_HOOFD_250_1-complete,01_HOOFD_195-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_370-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_250_2-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_BB_540-complete,01_HOOFD_809-complete,01_HOOFD_809c-complete,01_BB_775-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 772,1,53,"57 days, 10 hours",4962510000,"57 days, 10 hours",4962510000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_250_2-complete,01_HOOFD_495-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_195-complete,01_HOOFD_510_1-complete,01_HOOFD_494a-complete,01_HOOFD_490_5a-complete,01_HOOFD_250_1-complete,01_HOOFD_490_5-complete,01_HOOFD_519-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809c-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 773,1,29,"167 days, 11 hours",14469188000,"167 days, 11 hours",14469188000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,04_BPT_029-complete,04_BPT_021-complete,01_HOOFD_015-complete,05_EIND_010-complete,05_EIND_011-complete,05_EIND_020-complete,05_EIND_030_0-complete,05_EIND_065-complete,99_NOCODE_01-complete,99_NOCODE_01-complete,01_HOOFD_814-complete,01_HOOFD_811-complete,01_HOOFD_815-complete,01_HOOFD_820-complete,05_EIND_025-complete,01_HOOFD_809-complete,01_HOOFD_810-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 774,1,53,"185 days, 12 hours",16030028000,"185 days, 12 hours",16030028000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_250_1-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_250_2-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_HOOFD_809c-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
