Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 654,1,29,"77 days, 9 hours",6687948000,"77 days, 9 hours",6687948000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_021-complete,04_BPT_029-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_020_2-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_051_0-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 655,1,61,"118 days, 1 hour",10198800000,"118 days, 1 hour",10198800000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_029-complete,04_BPT_021-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_110_2-complete,01_HOOFD_110_1-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_375-complete,01_HOOFD_440_1-complete,10_UOV_050_2-complete,01_HOOFD_510_2-complete,01_HOOFD_460-complete,01_HOOFD_490_5-complete,01_HOOFD_445-complete,01_HOOFD_440_2-complete,01_HOOFD_446-complete,01_HOOFD_450-complete,01_HOOFD_455-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_1-complete,10_UOV_050_3-complete,10_UOV_060-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,10_UOV_030-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 656,1,43,53 days,4579200000,53 days,4579200000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_099-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 657,1,56,"66 days, 1 hour",5706000000,"66 days, 1 hour",5706000000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_099-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_050-complete,01_HOOFD_190_1-complete,01_HOOFD_190_2-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,12_AP_010-complete,01_HOOFD_430-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 658,1,44,24 days,2073600000,24 days,2073600000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_099-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 659,1,21,"24 days, 14 hours",2125623000,"24 days, 14 hours",2125623000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,01_HOOFD_099-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 660,1,56,42 days,3628800000,42 days,3628800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_025-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_050-complete,01_HOOFD_190_1-complete,01_HOOFD_190_2-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 661,1,44,13 days,1123200000,13 days,1123200000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_099-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 662,1,44,19 days,1641600000,19 days,1641600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 663,1,44,41 days,3542400000,41 days,3542400000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_099-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 664,1,57,40 days,3456000000,40 days,3456000000,01_HOOFD_010-complete,11_AH_II_037_2-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,11_AH_II_030-complete,11_AH_II_020-complete,11_AH_II_035-complete,11_AH_II_036-complete,11_AH_II_037_1-complete,11_AH_II_040-complete,11_AH_II_037_3-complete,11_AH_II_070_1-complete,11_AH_II_070_2-complete,11_AH_II_130-complete,11_AH_II_140-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,11_AH_II_145-complete,01_HOOFD_490_5-complete,01_HOOFD_099-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 665,1,44,32 days,2764800000,32 days,2764800000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_099-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 666,1,56,33 days,2851200000,33 days,2851200000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_099-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_050-complete,01_HOOFD_190_1-complete,01_HOOFD_190_2-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_490_5-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 667,1,42,18 days,1555200000,18 days,1555200000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 668,1,42,18 days,1555200000,18 days,1555200000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 669,1,44,26 days,2246400000,26 days,2246400000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 670,1,56,30 days,2592000000,30 days,2592000000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_065_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,01_HOOFD_099-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_025-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_050-complete,01_HOOFD_190_1-complete,01_HOOFD_190_2-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 671,1,44,18 days,1555200000,18 days,1555200000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110_1-complete,01_HOOFD_099-complete,01_HOOFD_110_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_516-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
